origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,249.75,0
Algeria,5,212.14600000000002,0
Argentina,11,157.0690909090909,2
Australia,340,94.70641176470588,111
Austria,58,178.09431034482756,5
Azerbaijan,3,555.44,1
Bangladesh,1,149.99,0
Belarus,3,149.77333333333334,0
Belgium,5,48.068,4
Bhutan,1,158.55,0
Bolivia,1,264.28,0
Brazil,117,171.89307692307693,11
Brunei Darussalam,2,222.64499999999998,0
Bulgaria,7,185.62857142857143,0
Cambodia,1,211.73,0
Canada,426,145.71428235294118,62
Chile,26,186.82615384615383,0
China,105,198.70752380952382,10
Colombia,5,205.73199999999997,0
Czech Republic,5,190.63400000000001,1
Denmark,13,203.34615384615384,0
Egypt,14,210.05357142857142,0
Estonia,4,60.5225,3
Ethiopia,15,246.36066666666665,0
Finland,26,133.44692307692307,7
France,59,159.06406779661017,7
Georgia,2,37.295,2
Germany,106,173.32028301886794,15
Greece,7,217.07285714285715,0
Guatemala,1,12.45,0
Guinea,1,212.75,0
Guyana,1,79.51,0
Hungary,20,200.56300000000002,2
Iceland,12,183.94333333333336,1
India,45,194.99866666666668,4
Indonesia,5,234.098,0
Ireland,110,178.55509090909092,8
Israel,2,151.105,0
Italy,3,122.78666666666668,0
Japan,99,163.93262626262626,21
Kazakhstan,2,373.405,0
Kenya,1,72.64,0
Kingdom of the Netherlands,42,183.68642857142856,6
Kuwait,1,260.94,0
Latvia,4,186.495,0
Lithuania,4,141.29,0
Luxembourg,10,184.185,1
Malaysia,28,179.79607142857142,2
Malta,50,194.52020000000002,2
Mauritius,1,213.63,0
Mexico,86,187.93837209302328,5
Morocco,3,210.08666666666667,0
Myanmar,1,240.44,0
Nepal,1,12.37,0
New Zealand,108,68.26444444444445,6
Nigeria,1,241.7,0
Norway,10,147.238,0
Oman,9,251.8211111111111,0
Pakistan,3,218.65666666666667,0
Panama,14,218.9292857142857,1
Philippines,40,128.05925,9
Poland,33,158.51,4
Portugal,24,187.03875000000002,0
Qatar,4,199.145,0
Republic of Korea,64,202.2090625,4
Republic of Moldova,4,141.79999999999998,1
Romania,1,134.12,0
Russian Federation,32,156.74875,1
San Marino,2,245.32,0
Saudi Arabia,12,183.36,1
Serbia,1,214.81,0
Singapore,33,213.53484848484848,2
Slovakia,1,134.2,0
South Africa,1,263.8,0
Spain,82,168.98109756097563,8
Sri Lanka,1,68.87,0
Sweden,21,171.50761904761904,2
Switzerland,27,109.51888888888888,14
Taiwan,22,228.8359090909091,0
Thailand,44,197.44340909090909,1
Trinidad and Tobago,1,235.04,0
Tunisia,1,257.53,0
Turkey,63,211.8946031746032,0
Turkmenistan,2,246.07999999999998,0
Ukraine,7,206.1042857142857,0
United Arab Emirates,14,205.1407142857143,0
United Kingdom,149,171.98785234899327,15
United States,6208,137.44788074133763,529
Uzbekistan,3,172.13333333333333,0
Venezuela,1,120.35,0
Viet Nam,17,229.48058823529414,0
