icao24,origin_country,velocity,on_ground
a09281,United States,54.91,False
ab1644,United States,230.04,False
e8027c,Chile,232.43,False
aa8c39,United States,236.23,False
aa3cbe,United States,58.71,False
3c403a,Germany,7.2,True
408120,United Kingdom,212.43,False
ac1c16,United States,219.95,False
aa56db,United States,175.04,False
aa56da,United States,162.85,False
a3feec,United States,223.57,False
7c6b2f,Australia,0.13,True
c047c4,Canada,70.63,False
7c6b2d,Australia,181.19,False
7c6b41,Australia,219.35,False
ade191,United States,198.26,False
c07d22,Canada,102.96,False
801645,India,4.37,True
a59545,United States,56.41,False
e49405,Brazil,238.94,False
aa56d8,United States,197.84,False
4b1804,Switzerland,0.06,True
47be9c,Norway,72.15,False
aa56d4,United States,188.11,False
4b1807,Switzerland,0.0,True
a09294,United States,56.67,False
ad4f0b,United States,203.91,False
4b1800,Switzerland,0.0,True
7c6b1c,Australia,4.37,True
a798c6,United States,214.88,False
acdfa6,United States,204.36,False
7c6b30,Australia,203.11,False
a1fb4b,United States,221.41,False
a9a0fd,United States,32.45,False
ab76e6,United States,246.65,False
a5f83d,United States,146.27,False
a162fc,United States,252.09,False
4952cc,Portugal,246.63,False
a282e5,United States,266.17,False
a65eca,United States,43.33,False
a545da,United States,68.17,False
4952ce,Portugal,241.48,False
7c6b36,Australia,146.38,False
a36898,United States,257.59,False
acdfa3,United States,181.99,False
a10e8b,United States,216.98,False
a7d5a5,United States,41.34,False
a4ab44,United States,104.54,False
ad3c16,United States,255.66,False
a3420e,United States,65.03,False
7c6b0f,Australia,124.99,False
7c6b0e,Australia,209.88,False
7c6b0d,Australia,245.49,False
0d0c14,Mexico,181.98,False
7c6b0c,Australia,163.89,False
a3f2d5,United States,0.0,False
a1befc,United States,165.63,False
7c6b28,Australia,232.72,False
a57b3f,United States,63.36,False
851914,Japan,4.63,True
a175fa,United States,231.08,False
ab63bc,United States,211.65,False
a21b44,United States,225.06,False
a175ff,United States,201.59,False
a6fe41,United States,50.63,False
4b181c,Switzerland,219.88,False
